test_name,timestamp,model_name,passed,duration_seconds,llm_calls,input_tokens,output_tokens,plan,failure_stage,signifier_matches,signifier_reuse,reused_signifier_id,planning_path,initial_prompt_llm_calls,initial_prompt_input_tokens,initial_prompt_output_tokens,clarification_llm_calls,clarification_input_tokens,clarification_output_tokens,confirmation_llm_calls,confirmation_input_tokens,confirmation_output_tokens,plan_creation_llm_calls,plan_creation_input_tokens,plan_creation_output_tokens,other_llm_calls,other_input_tokens,other_output_tokens
simuhome_qt2_feasible_seed_1,2026-07-31T18:44:22.983988+03:00,gpt-5-mini|direct_code,passed,98.909,7,11732,5413,"{""code"":null,""explanation"":""Use the kitchen fan (the only available fan affordance) as the nearest-room fan. If the fan is already 'on' the plan succeeds immediately; otherwise it turns the fan on at 75% and waits up to 10 seconds, polling every 2 seconds, to verify the fan state becomes 'on'."",""format"":""json_ir"",""intent_type"":""IMPLICIT"",""intents"":[{""action"":""set"",""artifact"":""fan"",""intent_text"":""Use a fan in the nearest room."",""parameter"":""on_off"",""value"":true}],""plan_type"":""behavior_tree"",""planning_path"":""fresh_planning"",""signifier_ids"":[],""signifier_match_count"":0,""signifier_reuse"":false,""td_sosa_supported"":false,""tree"":{""children"":[{""affordance_id"":""qt2_feasible_seed_1_kitchen_kitchen_fan_1/state"",""expected_value"":""on"",""name"":""CheckStateIson"",""operator"":""=="",""property_url"":""http://127.0.0.1:8080/workspaces/simuhome_qt2_feasible_seed_1/artifacts/qt2_feasible_seed_1_kitchen_kitchen_fan_1/properties/state"",""type"":""condition""},{""children"":[{""action_url"":""http://127.0.0.1:8080/workspaces/simuhome_qt2_feasible_seed_1/artifacts/qt2_feasible_seed_1_kitchen_kitchen_fan_1/ha/fan/turn_on"",""affordance_id"":""qt2_feasible_seed_1_kitchen_kitchen_fan_1/FanTurnOn"",""name"":""Fanturnon"",""parameters"":{""percentage"":75},""type"":""action""},{""affordance_id"":""qt2_feasible_seed_1_kitchen_kitchen_fan_1/state"",""expected_value"":""on"",""name"":""WaitForStateIson"",""operator"":""=="",""poll_interval_seconds"":2,""property_url"":""http://127.0.0.1:8080/workspaces/simuhome_qt2_feasible_seed_1/artifacts/qt2_feasible_seed_1_kitchen_kitchen_fan_1/properties/state"",""timeout_seconds"":10,""type"":""wait_condition""}],""name"":""Sequence_1"",""type"":""sequence""}],""name"":""use_nearest_fan"",""type"":""selector""},""workspace_id"":null}",,0,false,,fresh_planning,1,2431,708,0,0,0,4,3722,1576,2,5579,3129,0,0,0
simuhome_qt2_feasible_seed_1,2026-07-31T18:47:31.931453+03:00,gpt-5-mini|direct_code,passed,100.091,7,13609,5404,"{""code"":null,""explanation"":""Idempotent plan to turn off the utility-room light. First check if the light is already off; if so the selector succeeds and no action is taken. Otherwise, call the LightTurnOff action on the utility-room light and then verify the device state becomes 'off'."",""format"":""json_ir"",""intent_type"":""IMPLICIT"",""intents"":[{""action"":""set"",""artifact"":""light"",""intent_text"":""Turn off the utility-room light"",""parameter"":""on_off"",""value"":false}],""plan_type"":""behavior_tree"",""planning_path"":""fresh_planning"",""signifier_ids"":[],""signifier_match_count"":0,""signifier_reuse"":false,""td_sosa_supported"":false,""tree"":{""children"":[{""affordance_id"":""qt2_feasible_seed_1_utility_room_utility_room_on_off_light_1/state"",""expected_value"":""off"",""name"":""CheckStateIsoff"",""operator"":""=="",""property_url"":""http://127.0.0.1:8080/workspaces/simuhome_qt2_feasible_seed_1/artifacts/qt2_feasible_seed_1_utility_room_utility_room_on_off_light_1/properties/state"",""type"":""condition""},{""children"":[{""action_url"":""http://127.0.0.1:8080/workspaces/simuhome_qt2_feasible_seed_1/artifacts/qt2_feasible_seed_1_utility_room_utility_room_on_off_light_1/ha/light/turn_off"",""affordance_id"":""qt2_feasible_seed_1_utility_room_utility_room_on_off_light_1/LightTurnOff"",""name"":""Lightturnoff"",""parameters"":{},""type"":""action""},{""affordance_id"":""qt2_feasible_seed_1_utility_room_utility_room_on_off_light_1/state"",""expected_value"":""off"",""name"":""CheckStateIsoff"",""operator"":""=="",""property_url"":""http://127.0.0.1:8080/workspaces/simuhome_qt2_feasible_seed_1/artifacts/qt2_feasible_seed_1_utility_room_utility_room_on_off_light_1/properties/state"",""type"":""condition""}],""name"":""Sequence_1"",""type"":""sequence""}],""name"":""Turn off utility-room light"",""type"":""selector""},""workspace_id"":""simuhome_qt2_feasible_seed_1""}",,0,false,,fresh_planning,1,2679,930,0,0,0,4,3918,1373,2,7012,3101,0,0,0
simuhome_qt2_feasible_seed_1,2026-07-31T18:50:30.983023+03:00,gpt-5-mini|direct_code,failed,115.522,10,18213,6039,,assertion,,false,,no_plan,1,2634,644,0,0,0,7,8778,2614,2,6801,2781,0,0,0
simuhome_qt2_feasible_seed_1,2026-07-31T18:53:44.674180+03:00,gpt-5-mini|direct_code,failed,70.299,4,8601,3166,,assertion,,false,,no_plan,1,2606,644,0,0,0,2,2872,352,1,3123,2170,0,0,0
simuhome_qt2_feasible_seed_1,2026-07-31T18:56:17.763768+03:00,gpt-5-mini|direct_code,passed,68.469,4,5784,3530,"{""code"":null,""explanation"":""Check whether the utility room temperature is at or above 35.0 (the current measured value) and, if so, read the humidity for additional context. I used the environment 'state' property to verify the temperature (>= 35.0) and then call the available humidity-reading action. There are no affordances in the provided list to control cooling (no AC or fan action for the utility room), so the plan only verifies conditions and gathers humidity; it cannot actively cool the room."",""format"":""json_ir"",""intent_type"":""IMPLICIT"",""intents"":[{""action"":""modify"",""artifact"":""thermostat"",""intent_text"":""the utility room must be too warm"",""parameter"":""temperature""}],""plan_type"":""behavior_tree"",""planning_path"":""fresh_planning"",""signifier_ids"":[],""signifier_match_count"":0,""signifier_reuse"":false,""td_sosa_supported"":false,""tree"":{""children"":[{""affordance_id"":""qt2_feasible_seed_1_utility_room_environment/state"",""expected_value"":35.0,""name"":""CheckStateIs35.0"",""operator"":"">="",""property_url"":""http://127.0.0.1:8080/workspaces/simuhome_qt2_feasible_seed_1/artifacts/qt2_feasible_seed_1_utility_room_environment/properties/state"",""type"":""condition""},{""action_url"":""http://127.0.0.1:8080/workspaces/simuhome_qt2_feasible_seed_1/artifacts/qt2_feasible_seed_1_utility_room_environment/getHumidityInPercent"",""affordance_id"":""qt2_feasible_seed_1_utility_room_environment/getHumidityInPercent"",""name"":""Gethumidityinpercent"",""type"":""action""}],""name"":""verify_utility_room_too_warm_and_get_humidity"",""type"":""sequence""},""workspace_id"":null}",,0,false,,fresh_planning,2,2973,1915,0,0,0,1,227,78,1,2584,1537,0,0,0
simuhome_qt2_feasible_seed_1,2026-07-31T18:58:51.561333+03:00,gpt-5-mini|direct_code,failed,107.997,9,18175,6374,,assertion,,false,,no_plan,1,2650,674,0,0,0,6,8773,2475,2,6752,3225,0,0,0
simuhome_qt2_feasible_seed_1,2026-07-31T19:01:59.229217+03:00,gpt-5-mini|direct_code,failed,131.019,9,15958,7241,,assertion,,false,,no_plan,1,2441,1012,0,0,0,6,8121,3087,2,5396,3142,0,0,0
simuhome_qt2_feasible_seed_1,2026-07-31T19:05:28.787493+03:00,gpt-5-mini|direct_code,failed,72.293,4,7944,3017,"{""code"":null,""explanation"":""If the utility-room air purifier is already on, do nothing for power-on. Otherwise, turn it on at high (100%) using FanTurnOn. Then concurrently set the fan percentage to 100% and enable oscillation to increase air movement. Finally, wait up to 15 seconds (polling every 2s) for the purifier to report state == 'on'. This approach uses idempotent checks and verifies the device reached the expected state."",""format"":""json_ir"",""intent_type"":""IMPLICIT"",""intents"":[{""action"":""modify"",""artifact"":""thermostat"",""intent_text"":""Ugh, the utility room must be too warm, I can feel a little sweat just thinking about going in there to grab the laundry, kind of makes me want to put it off"",""parameter"":""temperature""}],""plan_type"":""behavior_tree"",""planning_path"":""fresh_planning"",""signifier_ids"":[],""signifier_match_count"":0,""signifier_reuse"":false,""td_sosa_supported"":false,""tree"":{""children"":[{""children"":[{""affordance_id"":""qt2_feasible_seed_1_utility_room_utility_room_air_purifier_1/state"",""expected_value"":""on"",""name"":""CheckStateIson"",""property_url"":""http://127.0.0.1:8080/workspaces/simuhome_qt2_feasible_seed_1/artifacts/qt2_feasible_seed_1_utility_room_utility_room_air_purifier_1/properties/state"",""type"":""condition""},{""action_url"":""http://127.0.0.1:8080/workspaces/simuhome_qt2_feasible_seed_1/artifacts/qt2_feasible_seed_1_utility_room_utility_room_air_purifier_1/ha/fan/turn_on"",""affordance_id"":""qt2_feasible_seed_1_utility_room_utility_room_air_purifier_1/FanTurnOn"",""name"":""Fanturnon"",""parameters"":{""percentage"":100,""preset_mode"":""high""},""type"":""action""}],""name"":""Selector_1"",""type"":""selector""},{""children"":[{""action_url"":""http://127.0.0.1:8080/workspaces/simuhome_qt2_feasible_seed_1/artifacts/qt2_feasible_seed_1_utility_room_utility_room_air_purifier_1/ha/fan/set_percentage"",""affordance_id"":""qt2_feasible_seed_1_utility_room_utility_room_air_purifier_1/FanSetPercentage"",""name"":""Fansetpercentage"",""parameters"":{""percentage"":100},""type"":""action""},{""action_url"":""http://127.0.0.1:8080/workspaces/simuhome_qt2_feasible_seed_1/artifacts/qt2_feasible_seed_1_utility_room_utility_room_air_purifier_1/ha/fan/oscillate"",""affordance_id"":""qt2_feasible_seed_1_utility_room_utility_room_air_purifier_1/FanOscillate"",""name"":""Fanoscillate"",""parameters"":{""oscillating"":true},""type"":""action""}],""name"":""Parallel_2"",""policy"":""success_on_all"",""type"":""parallel""},{""affordance_id"":""qt2_feasible_seed_1_utility_room_utility_room_air_purifier_1/state"",""expected_value"":""on"",""name"":""WaitForStateIson"",""poll_interval_seconds"":2,""property_url"":""http://127.0.0.1:8080/workspaces/simuhome_qt2_feasible_seed_1/artifacts/qt2_feasible_seed_1_utility_room_utility_room_air_purifier_1/properties/state"",""timeout_seconds"":15,""type"":""wait_condition""}],""name"":""Cool utility room with air purifier"",""type"":""sequence""},""workspace_id"":""simuhome_qt2_feasible_seed_1""}",assertion,0,false,,fresh_planning,2,3863,1095,0,0,0,1,258,78,1,3823,1844,0,0,0
simuhome_qt2_feasible_seed_1,2026-07-31T19:08:07.493977+03:00,gpt-5-mini|direct_code,passed,95.395,7,12710,5019,"{""code"":null,""explanation"":""Idempotent plan to turn on the kitchen fan. First it checks if the fan is already 'on' (succeeds immediately if so). Otherwise it calls the FanTurnOn action. Finally it verifies the fan's state is 'on'. Uses the kitchen fan's exact affordances and state property."",""format"":""json_ir"",""intent_type"":""IMPLICIT"",""intents"":[{""action"":""set"",""artifact"":""fan"",""intent_text"":""Turn on the kitchen fan"",""parameter"":""on_off"",""value"":true}],""plan_type"":""behavior_tree"",""planning_path"":""fresh_planning"",""signifier_ids"":[],""signifier_match_count"":0,""signifier_reuse"":false,""td_sosa_supported"":false,""tree"":{""children"":[{""children"":[{""affordance_id"":""qt2_feasible_seed_1_kitchen_kitchen_fan_1/state"",""expected_value"":""on"",""name"":""CheckStateIson"",""operator"":""=="",""property_url"":""http://127.0.0.1:8080/workspaces/simuhome_qt2_feasible_seed_1/artifacts/qt2_feasible_seed_1_kitchen_kitchen_fan_1/properties/state"",""type"":""condition""},{""action_url"":""http://127.0.0.1:8080/workspaces/simuhome_qt2_feasible_seed_1/artifacts/qt2_feasible_seed_1_kitchen_kitchen_fan_1/ha/fan/turn_on"",""affordance_id"":""qt2_feasible_seed_1_kitchen_kitchen_fan_1/FanTurnOn"",""name"":""Fanturnon"",""parameters"":{},""type"":""action""}],""name"":""Selector_1"",""type"":""selector""},{""affordance_id"":""qt2_feasible_seed_1_kitchen_kitchen_fan_1/state"",""expected_value"":""on"",""name"":""CheckStateIson"",""operator"":""=="",""property_url"":""http://127.0.0.1:8080/workspaces/simuhome_qt2_feasible_seed_1/artifacts/qt2_feasible_seed_1_kitchen_kitchen_fan_1/properties/state"",""type"":""condition""}],""name"":""turn_on_kitchen_fan"",""type"":""sequence""},""workspace_id"":""simuhome_qt2_feasible_seed_1""}",,0,false,,fresh_planning,1,2568,546,0,0,0,4,3824,1376,2,6318,3097,0,0,0
simuhome_qt2_feasible_seed_1,2026-07-31T19:11:05.234562+03:00,gpt-5-mini|direct_code,passed,64.595,4,5819,2924,"{""code"":null,""explanation"":""The user reports the utility room is too warm. There is no temperature-control actuator affordance (no thermostat, AC, fan, vent, or cover controls) listed for the utility room, so the system cannot directly cool the room. This plan first verifies the environment sensor is available, then reads the utility room humidity to gather more contextual data. If you want further automated cooling actions, a controllable HVAC or fan affordance for the utility room would be required; currently we can only read sensors or suggest manual steps."",""format"":""json_ir"",""intent_type"":""IMPLICIT"",""intents"":[{""action"":""modify"",""artifact"":""thermostat"",""intent_text"":""Ugh, the utility room must be too warm"",""parameter"":""temperature""}],""plan_type"":""behavior_tree"",""planning_path"":""fresh_planning"",""signifier_ids"":[],""signifier_match_count"":0,""signifier_reuse"":false,""td_sosa_supported"":false,""tree"":{""children"":[{""affordance_id"":""qt2_feasible_seed_1_utility_room_environment/available"",""expected_value"":true,""name"":""CheckAvailableIsTrue"",""property_url"":""http://127.0.0.1:8080/workspaces/simuhome_qt2_feasible_seed_1/artifacts/qt2_feasible_seed_1_utility_room_environment/properties/available"",""type"":""condition""},{""action_url"":""http://127.0.0.1:8080/workspaces/simuhome_qt2_feasible_seed_1/artifacts/qt2_feasible_seed_1_utility_room_environment/getHumidityInPercent"",""affordance_id"":""qt2_feasible_seed_1_utility_room_environment/getHumidityInPercent"",""name"":""Gethumidityinpercent"",""parameters"":{},""type"":""action""}],""name"":""assess_utility_room_temperature"",""type"":""sequence""},""workspace_id"":""simuhome_qt2_feasible_seed_1""}",,0,false,,fresh_planning,2,2980,931,0,0,0,1,249,78,1,2590,1915,0,0,0
